Category: Health

Region,influenza + flu + flu symptoms + flu treatments + flu remedies: (2015)
South Dakota,100
Iowa,76
North Dakota,75
Nebraska,74
West Virginia,69
Arkansas,65
Minnesota,62
Wisconsin,61
Kentucky,61
Oklahoma,61
Montana,59
Alabama,59
Wyoming,59
Maine,57
Hawaii,56
Tennessee,56
New Hampshire,55
Vermont,55
Mississippi,54
North Carolina,54
Missouri,54
Maryland,53
Indiana,53
New Mexico,53
Pennsylvania,52
Ohio,52
Kansas,52
Washington,52
Connecticut,52
Rhode Island,52
Colorado,51
Massachusetts,50
Idaho,50
Utah,50
Arizona,49
Michigan,49
Illinois,48
Louisiana,48
District of Columbia,47
South Carolina,47
Georgia,46
California,46
Alaska,45
Delaware,44
Virginia,44
New York,44
Texas,43
Oregon,42
Nevada,42
New Jersey,41
Florida,39
